Tweet,Previsão
 Rodrygo Foden thinks hes the British Messi laughs  ,Positivo
my club still employs phil foden  ,Negativo
  Since Pep Joined  ,Positivo
Foden vs Real Madrid  Highlights Le diamant de city  ,Positivo
So were like just not going to speak on that Fodens performance Nah Cool,Positivo
wE lsT bUt FoDeN sCrEd hIs pEn  ,Negativo
I posted this on IG expecting Foden to thump one top bins   ,Positivo
Your City side to face Real Madrid XI  Ederson Walker C Akanji Dias Gvardiol Rodrigo De Bruyne Bernardo Foden Grealish HaalandSUBS  Ortega Moreno Carson Stones Ake Kovacic Doku Alvarez Gomez Nunes Bobb Lewis ManCity   UCL  ,Positivo
I dont think this was anywhere near a great performance from Foden especially because of his missed chance in the box In total Id give him a  I did have some takeaways regarding his positioning and the discourse around that  ,Negativo
Foden stinker when the lights were on him   ,Positivo
Real Madrid knocks out Man City in the shootout  ChampionsLeague  UCL  Rdiger  ManchesterCityRealMadrid  Foden  DeBruyne  Rodrygo  Bellingham  HalaMadrid  QuarterFinals  Kroos  MCIRMA  ManCity  RealMadrid  ,Positivo
We started an actual lb and for  minutes of football none of the City players dribbled past him He locked Bernardo and Foden Ferland Mendy  ,Negativo
Been hearing Saka this  foden that we all know the original Starboy ,Positivo
Odegard who Foden who Declan who,Positivo
Also need to figure out what to do with Foden Second best player this season still getting thrown around every position,Negativo
Not even tryna ride out for Foden but  times out of  the reason he plays poor in big games is cause Pep forces him into the touchline so KDB can play in his natural position Hes an interior not a winger,Negativo
thank fuck foden didnt miss that pen im kinda disappointed in hin though he has to start getting on the ball more youre a superstar act like it,Negativo
Thought the same It felt really good Karma is foden   ,Positivo
Against the odds Were Real Madrid  ,Positivo
Pep Guardiola after Man Citys defeat to Real MadridWhat a hell of a way to lose Johan Cruyff said that luck doesnt exist and I agree  ,Negativo
 Jude Bellingham shows Real Madrid logo after scoring the penalty  ,Positivo
Real Madrid saved football  ,Positivo
Real Madrid have never beaten City at EtihadAnd then comes Carlo Ancelotti ,Positivo
THIS IS REAL MADRID  We always fight  we always believe  we never give up HALAAAA MADRID   MCIRMA  UEFAChampionsLeague  MadridDay  ,Positivo
OFFICIAL Arsenal are out of the Clubs World Cup after tonight RB Salzburg access to the World Cup Manchester City Chelsea Real Madrid Atltico Madrid Bayern Borussia Dortmund Paris SaintGermain Inter Juventus Benfica Porto Salzburg  ,Positivo
Man City fans have a message for Real Madrid   ,Positivo
Real Madrid go to the Etihad and knock the European Champions out of the UCL   ,Negativo
THIS IS REAL MADRID  We always fight  we always believe  we never give up HALAAAA MADRID    UCL  Hustle  AlwaysBelieve  ,Positivo
ANDRIY LUNIN YOU ARE A REAL MADRID LEGEND THANK YOU  ,Positivo
ESPECIALLY FOR THE NEWCOMERS THIS IS REAL MADRID WE NEVER GIVE UP,Positivo
Real Madrid vs Manchester City in a nutshell  ,Positivo
Jude Bellingham and Real Madrid on the cover of     ,Positivo
Real Madrid qualified to Champions League semi finalsManchester City eliminated   ,Positivo
After Speed celebrated Rodrygos goal in the Man City vs Real Madrid game Man City fans got mad at him and told him to end his stream   ,Positivo
 Real Madrid confirm that Dani Carvajal and Vinicius Jr are not injured nothing serious for both of them  ,Negativo
Antonio Rdiger Kept Haaland scoreless over two legs and converted the penalty to send Real Madrid into the semifinals   ,Positivo
HALA MADRID Another nailbiter another victory This teams heart is unmatched  LeyendaContina  RealMadrid HalaMadrid  RealMadridManchesterCity  ,Positivo
Heat  ManchesterCityRealMadrid  ChampionLeague   RealMadrid  ,Negativo
Antonio Rdiger scores and Real Madrid is in the Champions League semifinal In the face of the dirty smear campaign against him because of his Islamic beliefswe repeat his wordsAllahu Akbar ChampionLeague   RealMadrid  ,Positivo
JUDE VICTOR BELLINGHAM  RealMadrid   ChampionsLeague  ,Positivo
Vinicius and Rodrigo are crazy   HalaMadridYNadaMas  RealMadrid  ,Positivo
Replay of Bernardo silvas penalty v Real Madrid RealMadridManchesterCity  HalaMadrid  realmadrid  ,Positivo
Fede Valverde the Most underrated players in the world  HalaMadrid  RealMadrid  ,Positivo
Give your opponent hope to live and then kill himThe wise Ancelotti RealMadrid  ,Positivo
Lodging       RealMadridManchesterCity  RealMadrid  realcity  ,Positivo
Only team to go down in history to win back to back UCL trophies in the Champions League era  Real MadridThere is no other team SUPER TEAM MIRACLE CLUB RealMadrid  ,Positivo
Pure teamwork by the Real Madrid goalies   UCL  ChampionsLeague  RealMadrid  ManCity  ,Positivo
enfin les bookmakers respectent le  RealMadrid   ,Negativo
Los Blancos warmups   LaLiga  RealMadrid  ,Positivo
Lunin deserves every bit of the praiseBlud was backup goalkeeper since  But never gave up And his efforts have reaped fruits now and howTake a bow Lunin  RealMadrid  ,Positivo
 semis in the last  seasons only team to defend the title in the Champions League era  trophies in the CL era  times champions of Europe in total Truly the kings of Europe Real Madrid HalaMadrid  RealMadrid  ,Positivo
Real Madrid fans right now RealMadrid  ,Positivo
Kepa played his part tooAdvicing lunin about Man City players ChampionLeague  RealMadridManchesterCity  Lunin  HalaMadrid  RealMadrid  ,Positivo
Real Madrid are the aristocrats of European football UCL  RealMadrid  RealMadridManchesterCity  ,Positivo
Real Madrid knocks out Manchester City More pain for Barcelona  ,Negativo
Warra Win that is for Manchester City  ,Positivo
Back to back joysKill meKilled KINE LAKERS MADE PLAYOFFSMANCHESTER CITY GOT ELIMINATED BY REAL MADRIDMe rn  ,Positivo
OFFICIAL Arsenal are out of the Clubs World Cup after tonight RB Salzburg access to the World Cup Manchester City Chelsea Real Madrid Atltico Madrid Bayern Borussia Dortmund Paris SaintGermain Inter Juventus Benfica Porto Salzburg  ,Positivo
Thank you Real Madrid for humbling Manchester cityWe remain Brothers   ,Positivo
Real Madrid vs Manchester City in a nutshell  ,Positivo
Liverpool  European Trophies Manchester City  European Trophies Arsenal  European Trophies If your gonna try take the Mick out us the worst thing you could do is use Europe   ,Negativo
Manchester City and Arsenal are out of the champions league They are taking all that anger to their next games which are both against Chelsea God will stand for us  ,Positivo
Lucas Vasquez Manchester City City at home has a very particular game They are a great team and have a great game but in our heads we knew that we were going to have our options on the counterattack We got ahead in a great collective play and then we knew how to sufferThey are the current champion one of the big favorites and we have eliminated them We are two games away from a final and we are going to go to the death,Positivo
Real Madrid qualified to Champions League semi finalsManchester City eliminated   ,Positivo
 HalaMadrid  HalaMadridYNadaMasReal Madrid have never beaten Manchester City at Etihadand thats where Carletto comes in  ,Positivo
Lunin vs Manchester City  ,Positivo
Manchester City about to take all their anger out on Chelsea this Saturday  ,Positivo
Les Notes Manchester City Real MadridBayern Munich Arsenal  ,Positivo
How does it feel to be a Manchester City fan  ,Positivo
The Fathers of Manchester City and Liverpool  ,Negativo
Arsenal and Manchester City fans ChampionsLeague  BAYARSAfter the first leg     and     After the second leg  ,Positivo
Test the waters Manchester City  ,Positivo
In it together  ManCity  ,Positivo
it is more blessed to give than to receive  bibletruth  bibleverseoftheday  scripture  bible  biblebuild  AskMikha  BAYARS    deprem  ImpossiblePM  ManCity  ,Positivo
BIG  UCL night loading  ManCity  ,Positivo
I bless you my children   chantoken  ManCity  ,Positivo
We were better and we played better but they were lucky winning on penaltiesThe true champions  ManCity  ,Positivo
 ManCity Real Madrid to Man city  ,Positivo
EVERYWHERE HE GOES Dubai  ManCity  Trump   ,Negativo
I think I speak for  ManCity fans everywhere when I say  ,Positivo
Lunin Appreciation tweet like and retweet if you believe this guy saved us all today  HALAMADRID  ManCity Madrid  ,Positivo
HALFTIME  Behind at the break     ManCity   UCL  ,Negativo
FULLTIME  Extra time is needed     ManCity   UCL  ,Positivo
Good morning world Todays agenda ignite passions chase dreams and conquer the day like never before Lets turn up the energy seize every opportunity and make waves that rock the universe  GoodMorning  ManchesterCityRealMadrid  ManCity  ,Positivo
City fans rejoice  ChampionsLeague  RealMadrid  ManCity   ,Positivo
EXTRATIME FULLTIME  Penalties will decide the tie     ManCity   UCL  ,Positivo
Herrrhhh Manchester City MCIRMD  ManchesterCityRealMadrid  ManCity  ,Positivo
Pep Guardiola to Sheikh Mansour I need m to buy penalty takers in the summer  UCL   MCIRMA   Mancity  ,Negativo
Meet Fernando   s bus driver for the last  years Hes been to more UEFA Champions League Finals than  PSG  Barcelona  Chelsea  ManCity amp  Liverpool   ,Negativo
Lets connect MadridstasDrop your handles and Repost  RealMadridManchesterCity UCL  HalaMadrid  MCIRMA  ManCityVinicius Rudiger Hala Madrid Man City De Bruyne Haaland Bellingham Real Madrid Lunin Rodrygo  ,Positivo
 Real Madrid win Barca loss Atleti loss Al Hilal loss Mbappe masterclass Araujo red Ronaldo has the most insta followers  Messi ghosted Haaland ghosted Neymar has only one legI LOVE GOD   ,Negativo
We need to SPEAK about Erling Braut Haaland  ,Positivo
